,average,p,otu_id,baseMean,log2FoldChange,pvalue,padj,relative_abund,log2FC_new,rel_abu_new,padj_new
717,0,0.003,e701a28269595359f78b3e75ab47f58e,2.17806687267959,1.62378330704686,5.51698632688408e-05,0.000145158167820254,0.000114908308393007,1.62378330704686,0.000114908308393007,0.001
718,0,0.001,afeacf2b9ab8e2d80e27df4e24f2fe1f,3.41701203568918,2.71270292355263,5.50704230784604e-11,3.35936223772949e-10,0.000114908308393007,2.71270292355263,0.000114908308393007,0.001
719,0,0.006,56e420a382b2265fabddef043c172044,3.65936875494566,2.21467758555559,7.37791964759736e-07,2.63489686849575e-06,0.000109685203466052,2.21467758555559,0.000109685203466052,0.001
720,0,0.043,abc7746118b0f3c9a539c3a5be163ec4,5.55428391418482,0.879524116245553,0.0311952691123588,0.0410071421630357,0.000110990979697791,0.879524116245553,0.000110990979697791,0.1
721,0,0.001,6479ec3588c96edba9a55245472c149d,1.86805243136097,1.34367854553724,0.000677435002696652,0.00141913372354473,0.000113602532161269,1.34367854553724,0.000113602532161269,0.01
722,0,0.001,2e1e823739b145a5d86b6d90ab194238,3.4217370124393,2.71183572077291,1.80945150370134e-11,1.1623918734342e-10,0.000113602532161269,2.71183572077291,0.000113602532161269,0.001
723,0,0.001,974240e01415bcea8b9236c592a597ef,3.37266628773784,2.68927763919935,1.6653810039814e-10,9.64700084436875e-10,0.000113602532161269,2.68927763919935,0.000113602532161269,0.001
724,0,0.115,6755994c0958139dce0abe4ddb7af617,3.52616988840016,0.277659859680336,0.56082911951144,0.596072479480738,8.87927837582329e-05,0.277659859680336,8.87927837582329e-05,1
725,0,0.009,763ae3a70ab45d70d013d3a46dbf0b06,3.6835488074612,2.14451726256302,2.83785073265253e-06,9.37974585295675e-06,0.000107073651002575,2.14451726256302,0.000107073651002575,0.001
726,0,0.001,90e69ebd72c44f0a66d89e6bc6de0f9c,3.52242157118206,2.54510626379716,8.86194014348621e-11,5.25995672601053e-10,0.00011229675592953,2.54510626379716,0.00011229675592953,0.001
727,0,0.001,1e1e73c1a34c1acc7382a94e97ac6220,3.63828978023701,2.31939455844706,1.1308381243534e-08,5.15658105938246e-08,0.000110990979697791,2.31939455844706,0.000110990979697791,0.001
728,0,0.001,fd720bee1f1769b525a2fe5130e6b392,3.60705967038187,2.28287160268005,2.01388717659517e-08,8.85584995829719e-08,0.000109685203466052,2.28287160268005,0.000109685203466052,0.001
729,0,0.075,2d510fb983365b0f3eda8ae7a7e7922e,4.38594794813805,1.12791909608826,0.0171096399452943,0.0241146736910126,9.27101124534491e-05,1.12791909608826,9.27101124534491e-05,0.1
730,0,0.001,5a9f6b21bf2b917320eda684acfe7403,3.60158516227409,2.19942193279127,7.26743151802964e-08,2.98306827813928e-07,0.000108379427234314,2.19942193279127,0.000108379427234314,0.001
731,0,0.003,d1c941df91026e3db3697bd8cc733707,3.43190093800665,2.45243659919514,9.95471945745561e-09,4.57229939113107e-08,0.000109685203466052,2.45243659919514,0.000109685203466052,0.001
732,0,0.005,db9dedfaa672b6d09dd913292bbc8de2,2.77185835463896,1.25988245737304,0.0015193516263774,0.00289828788177688,0.000105767874770836,1.25988245737304,0.000105767874770836,0.01
733,0,0.001,26ad9d9f96687cf271300426a2b1009a,3.50808517514534,2.38150647034306,2.06065739656054e-09,1.0348306310235e-08,0.000109685203466052,2.38150647034306,0.000109685203466052,0.001
734,0,0.442,6f71e4c50549994ff9f52552cb6da073,3.47349395737906,0.8323485277032,0.0706979267427977,0.0865664444402731,5.87599304282424e-05,0.8323485277032,5.87599304282424e-05,0.1
735,0,0.001,c2d24a4f42933ff796c90ad6f4aca109,1.5681096892724,0.802017551589917,0.0310636007324296,0.0408446773021052,0.000109685203466052,0.802017551589917,0.000109685203466052,0.1
736,0,0.001,9eb2beff38c4e71a7ea2308097b5b4e4,3.3480018212731,2.66928749338086,1.24039957041301e-12,9.21101413741352e-12,0.000109685203466052,2.66928749338086,0.000109685203466052,0.001
737,0,0.001,20c51d7812c7e4dc2d4e1f34445a921b,2.18297373288489,1.74359739988927,8.52668187453951e-06,2.57891329183889e-05,0.000109685203466052,1.74359739988927,0.000109685203466052,0.001
738,0,0.008,772a72011f2f4f6e8731c661c99a8ab9,3.58429584514762,2.25653245787528,2.40631468392285e-07,9.22572657816366e-07,0.000105767874770836,2.25653245787528,0.000105767874770836,0.001
739,0,0.012,a54c3ff87249ef4467742ca220a00fbc,4.35566385177575,1.30571952828317,0.00237397497296794,0.00429063310875584,9.92389936121427e-05,1.30571952828317,9.92389936121427e-05,0.01
740,0,0.021,99b2eeec184b8038272a3449aeb947ed,2.27383111457177,1.38004263777986,0.00121809918153789,0.0023875688221074,0.000105767874770836,1.38004263777986,0.000105767874770836,0.01
741,0,0.001,2ce79bad2256820f579f3b199ab9b3b1,3.30369454036605,2.64661087809013,1.04351386956319e-12,7.80094264521616e-12,0.000108379427234314,2.64661087809013,0.000108379427234314,0.001
742,0,0.001,2e4f520085f7eb65b0112143cf847781,3.30642857037097,2.64762636368665,1.26949709599705e-12,9.39948289085957e-12,0.000108379427234314,2.64762636368665,0.000108379427234314,0.001
743,0,0.016,c23c2b278a42e40386479fed7a1d9040,3.80796431441528,1.75312074724723,9.82615831166426e-05,0.000247711279073211,9.7933217380404e-05,1.75312074724723,9.7933217380404e-05,0.001
744,0,0.01,fcb57b964687066f553f5f55a6f43690,2.08706483805581,0.956561837128786,0.0107095030972956,0.0161040610059542,0.000104462098539098,0.956561837128786,0.000104462098539098,0.1
