,average,p,otu_id,baseMean,log2FoldChange,pvalue,padj,relative_abund,log2FC_new,rel_abu_new,padj_new
666,0,0.001,a180174fcbc351840f6a502c1631d886,3.85738033139975,2.93922928636697,4.74019066169651e-14,4.20546389056127e-13,0.000135800728100827,2.93922928636697,0.000135800728100827,0.001
667,0,0.001,e255c9a60c404b243e3db1545821fe0a,1.3069026287527,0.084117832350674,0.844837541699971,0.857780288932871,0.000135800728100827,0.084117832350674,0.000135800728100827,1
668,0,0.001,f418e8bae4c1f5af3beef7db5fe43a5a,3.84061493777946,2.93298124559275,6.73732801049456e-13,5.24971768090462e-12,0.000135800728100827,2.93298124559275,0.000135800728100827,0.001
669,0,0.001,0ca59032ed36b4265ccc43c96547e266,3.81096198562963,2.92110515177969,1.17955149622698e-12,8.85013637451016e-12,0.000135800728100827,2.92110515177969,0.000135800728100827,0.001
670,0,0.062,45e51096fbdee0324f393229d00a4345,5.07678410801616,1.1772797439182,0.0135342283560359,0.0197070523456589,0.000113602532161269,1.1772797439182,0.000113602532161269,0.1
671,0,0.001,edfe01ce422d72de22d6076c93d080d6,3.95600859461989,2.69446055877227,2.31448927863145e-10,1.30483525998208e-09,0.000134494951869088,2.69446055877227,0.000134494951869088,0.001
672,0,0.004,647f9a0e5d3c65f0e5fdb43bd473090a,4.12710282091868,2.32633441976588,1.74831701927354e-07,6.85899081960146e-07,0.000130577623173872,2.32633441976588,0.000130577623173872,0.001
673,0,0.001,6db4ab2d8823baae3da03a5c5a7fb25a,3.78786301465852,2.90960080156396,1.30172479347071e-12,9.72351887825908e-12,0.000134494951869088,2.90960080156396,0.000134494951869088,0.001
674,0,0.009,44be23f89b5f62d164b0f18e79318f30,4.40248756907304,1.98446056573724,1.74240050422389e-05,5.01783562064932e-05,0.000125354518246917,1.98446056573724,0.000125354518246917,0.001
675,0,0.001,198a3628993461992bf092154de4ac19,4.42675748675182,2.11339473877862,1.94287187360946e-07,7.5752529412822e-07,0.000133189175637349,2.11339473877862,0.000133189175637349,0.001
676,0,0.009,a33279b9d45044cf5b16344509b228c7,5.11603621771183,1.42339902474225,0.00171233382774738,0.00320707840399737,0.000125354518246917,1.42339902474225,0.000125354518246917,0.01
677,0,0.349,ea26fbe6439c955bba726a3a4c30c834,5.3762753392695,0.49427702184209,0.357740371334763,0.392087788868638,8.74870075264942e-05,0.49427702184209,8.74870075264942e-05,1
678,0,0.003,51825838673ba30ceade6c92e9ca5704,4.60430688032679,1.87336846286108,1.00114178752935e-05,3.01714780663642e-05,0.000129271846942133,1.87336846286108,0.000129271846942133,0.001
679,0,0.013,86ae6ec32d3ba2b072a7c1803cfa40d9,4.46918710030158,1.74182586086589,9.94480013392311e-05,0.000250327796302883,0.000121437189551701,1.74182586086589,0.000121437189551701,0.001
680,0,0.002,d176e82314430ed90c6bba9a4093db3b,3.94925563514088,2.56459106204152,1.34625376078281e-10,7.82529341181458e-10,0.000130577623173872,2.56459106204152,0.000130577623173872,0.001
681,0,0.001,058d4fd281e88c067d8c0a743f310ee7,1.64074345506091,0.949919384024315,0.0121859721265672,0.0179453876074695,0.000130577623173872,0.949919384024315,0.000130577623173872,0.1
682,0,0.001,778201ea56e5c5c73af38bb4bacd5d93,3.72519059087665,2.877121869232,2.16890017944022e-12,1.58498962535104e-11,0.000130577623173872,2.877121869232,0.000130577623173872,0.001
683,0,0.001,1652ffb90c297860ef241519fd809182,1.30660988451039,0.0840481749429028,0.844964144151456,0.857780288932871,0.000130577623173872,0.0840481749429028,0.000130577623173872,1
684,0,0.004,fcb57b964687066f553f5f55a6f43690,2.45239911873581,1.44073191652751,0.000365779064400277,0.000817747448573034,0.000126660294478656,1.44073191652751,0.000126660294478656,0.001
685,0,0.523,6f60d1699d589504f088f1a6edf5fbe0,3.71582987912671,0.540428208609427,0.240588487453678,0.270970151682238,5.48426017330262e-05,0.540428208609427,5.48426017330262e-05,1
686,0,0.018,314310f26fb1f41d913752829625d192,2.18357111814277,0.843947379149359,0.0352585289636544,0.045800765725456,0.00012274296578344,0.843947379149359,0.00012274296578344,0.1
687,0,0.231,7a45bd46735ad753426a912718cd7b6c,2.49154807709709,0.290643515442545,0.510288396130216,0.546028019303958,9.14043362217104e-05,0.290643515442545,9.14043362217104e-05,1
688,0,0.001,549482182dc3ab964cef7ea4ca4f82a6,3.63839118528331,2.83597677193031,1.05305330862334e-11,7.00696129172137e-11,0.000127966070710395,2.83597677193031,0.000127966070710395,0.001
689,0,0.001,1ecb5a359b4ef3e81eb4c0590db8bcb1,1.3059960741972,0.0839073254816397,0.845220006588999,0.857780288932871,0.000127966070710394,0.0839073254816397,0.000127966070710394,1
690,0,0.001,ee747569ed0a2459726b74f49909e1b3,3.66388255071068,2.84717389547655,3.43101344330771e-13,2.74970443467624e-12,0.000127966070710394,2.84717389547655,0.000127966070710394,0.001
691,0,0.001,42f7c5a9481ebf29057545d2c6ad146a,4.02309139796574,2.40279358253494,1.53138409059243e-10,8.84042162799761e-10,0.000127966070710394,2.40279358253494,0.000127966070710394,0.001
692,0,0.072,df6bcfbf770801035f6c53f78e1f3946,4.77529974853841,1.09908382774621,0.0252950334928443,0.034211549712039,9.92389936121427e-05,1.09908382774621,9.92389936121427e-05,0.1
693,0,0.001,088f43b42a588c64271a09c67ede6c43,3.89483777022067,2.39437323652028,1.20562785419619e-08,5.54764336548692e-08,0.000124048742015178,2.39437323652028,0.000124048742015178,0.001
694,0,0.001,49f336680e14da7e896de807f495e8f7,3.75101382418866,2.75709632710756,1.40969422482349e-13,1.18222615173008e-12,0.000126660294478656,2.75709632710756,0.000126660294478656,0.001
695,0,0.038,a631caf2b313714246c26125049a1440,2.08889782975428,1.69723034478578,3.28594823925575e-05,8.97248393408009e-05,0.000114908308393007,1.69723034478578,0.000114908308393007,0.001
696,0,0.358,971bacff525b534abdb2ef7babc4499b,5.51649072370442,0.372147421977446,0.45446350923298,0.490130511023924,8.3569678831278e-05,0.372147421977446,8.3569678831278e-05,1
697,0,0.419,7b438f8c2d92bd32b7537e73ff32e4f2,5.13662475752673,0.283971202606745,0.595063691729162,0.630338728335646,7.31234689773683e-05,0.283971202606745,7.31234689773683e-05,1
698,0,0.001,d4d1a4fddf1fb68c8ef2a8fdbe48de4b,3.9492645889175,2.30386548244215,5.15002892640406e-09,2.50155735081458e-08,0.00012274296578344,2.30386548244215,0.00012274296578344,0.001
699,0,0.001,3ca4e4cdb5fc53fee773a4645ab849dc,3.84780123080768,2.4997299644105,1.22043449624402e-08,5.61067022500545e-08,0.00012274296578344,2.4997299644105,0.00012274296578344,0.001
700,0,0.291,0bee6728715da2fa2ae55be86c122f95,5.31469205766677,0.555533146286598,0.267741031524693,0.299616374512143,8.74870075264942e-05,0.555533146286598,8.74870075264942e-05,1
701,0,0.001,0d934a81b379145cb9efbe0e5ea80a01,3.70430663045483,2.72891120066881,2.33969719170265e-10,1.31757780606239e-09,0.000124048742015178,2.72891120066881,0.000124048742015178,0.001
702,0,0.001,224d92ae0145f88791492ab171e64648,1.3076277517272,0.0842977319878526,0.844510387947766,0.857780288932871,0.000124048742015178,0.0842977319878526,0.000124048742015178,1
