"","b3_RZ_1a","b3_RZ_1c","b3_RZ_2a","b3_RZ_2c","b3_RZ_3b","b3_RZ_3c","b4_RZ_1a","b4_RZ_1b","b4_RZ_2b","b4_RZ_2c","b4_RZ_3a","b4_RZ_3b","b3_RT_1a","b3_RT_1b","b3_RT_2b","b3_RT_2c","b3_RT_3a","b4_RT_1a","b4_RT_1b","b4_RT_2b","b4_RT_2c","b4_RT_3a","b4_RT_3b"
"ro_bin.15",0.0716043476345505,0.0172800609897261,0.0813621794510434,0.10327636779783,0.0187492613251247,0.0175125211593594,0.104805864754565,0.00695447139985535,0.0140024220422791,0.0161851164813065,0.00880040019510753,0.0214028772954577,0.037762441647065,0.0261062357472982,0.0068960207213222,0.0286954201035688,0.0112960830324543,0.0342465201152876,0.0148655474020667,0.0403119153625041,0.0224433465059752,0.0101885564320113,0.00525748919977744
"ro_bin.6",0.00477446481681166,0.00828531352092879,0.00752084447885556,0.0122397784135619,0.0106603969808297,0.00338851353220121,0.0121685917294203,0.00536007750537741,0.00651498861946436,0.00470532449369737,0.0063732910574611,0.00593773032668872,0.0187175162358743,0.00307553973812081,0.00568175838966331,0.00483394123857904,0.00212389610399219,0.00770989243381366,0.00728537660097354,0.00434070312086978,0.00888476613221584,0.00211969470963158,0.00466122790465023
"co_bin.29",0.00566638020151591,0,0.0372957454272685,0.0388139002835587,0.0276733317499783,0.0258281488332431,0.0427639969115411,0.0267540294685235,0.0406268581927262,0.170871982633494,0.0755866327985419,0.0746177213747908,0,0,0.00426512444090646,0.00385469701458217,0.00275028455798189,0.0197233653790777,0.00457974089058058,0.00292549385162891,0.00876735475370634,0.0100301965919114,0.00534820295972788
"ro_bin.17",0.00927458538939241,0.102665449311959,0.0830606939276096,0.108312668876568,0.0780817514311884,0.0993877302608658,0.0312762167940072,0.0649123777310293,0.0588686942476156,0.108552881262869,0.0531334362481495,0.193230231415961,0.0431661809544501,0.00312763815272573,0.0107904648655661,0.0343743715043829,0.00677514191646088,0.0141603613190338,0.00886380937498734,0.00657023773410268,0.0113700781999289,0.00746647412273621,0.00579584233254195
"ro_bin.10",0,0,0,0,0,0.00294847426637603,0,0,0,0,0,0,0.0016740182023852,0.00305998742296114,0.00548498311144566,0.0125493622697276,0.00451239140938598,0.0078909398589438,0.000824540170084471,0.0163106935937608,0.0134047446154588,0.00243525128855277,0.0143115299682251
"co_bin.70",0,0,0,0,0,0,0.00149613608216692,0.00129922761159161,0.00160793870567862,0,0,0,0.0733576232219343,0.0532146269766278,0.0445430371668325,0.0205763335379147,0.0288957315252926,0.0542802766454054,0.0679947472265822,0.0587182618768701,0.0764107608432981,0.0199505214160405,0.0299022019931876
"ro_bin.37",0,0,0,0,0,0,0,0.00442557113442145,0,0,0,0,0.0609345877385985,0.0308351345150767,0.042456958683656,0.0132285828721536,0.0400916063363855,0.056994918510994,0.0416935818458112,0.0604607974801945,0.0620001038743175,0.0305648687541983,0.0287455526303528
"co_bin.32",0.0175149497914669,0.0373533232090371,0.0288456965636862,0.0300578933892273,0.0240914393249052,0.0141080396915844,0.00796770946568925,0.00191077029496513,0.00516027605387217,0,0.00592866319624757,0.00752935711492982,0,0,0.0036461400852168,0.00722153745477149,0.00147759130527398,0,0,0,0.00196037735262694,0.000922709056498933,0
"ro_bin.3",0.175508293899043,0.0732008846130569,0.0819114361627065,0.174585878810032,0.141187511804053,0.0959737932172636,0.0405037016586266,0.0445287433175358,0.0745427061774711,0.0860116636823699,0.0828110180780461,0.0674867902596466,0.0218634999689456,0.0526435523050044,0.0147522171187815,0.0373885594961961,0.0160032156647645,0.0188957449945529,0.00867642243101676,0.0172176953657596,0.0238038844200204,0.0216361355001252,0.0118836538030612
"co_bin.12",0.0630371834101475,0.0723910732486779,0.0318760356927195,0.0801593029481501,0.0987040597792677,0.0669669652204023,0.0300027502828562,0.0318278175086426,0.0479639751413559,0.0859783120702182,0.0240347178730088,0.0616844887791091,0.00540500168120358,0.00578769440222066,0,0.0120629359977425,0.00114876615823506,0.00152673250750987,0.00189292012644423,0,0.00166870016895701,0.00099316246564436,0.000919610201568636
