"","b3_BS_1a","b3_BS_2a","b3_BS_3c","b3_RT_1a","b3_RT_1b","b3_RT_2b","b3_RT_2c","b3_RT_3a","b3_RS_1a","b3_RS_2a","b3_RS_3a","b3_RZ_1a","b3_RZ_1c","b3_RZ_2a","b3_RZ_2c","b3_RZ_3b","b3_RZ_3c","b4_BS_1a","b4_BS_2b","b4_BS_3c","b4_RT_1a","b4_RT_1b","b4_RT_2b","b4_RT_2c","b4_RT_3a","b4_RT_3b","b4_RS_1c","b4_RS_2b","b4_RS_3c","b4_RZ_1a","b4_RZ_1b","b4_RZ_2b","b4_RZ_2c","b4_RZ_3a","b4_RZ_3b"
"co_bin.42",0,0.00947131696410905,0,0,0,0,0.00591417751947884,0.00485271147155878,0.0126880742627113,0.0126707561520137,0.00785463482261534,0.0170375344069944,0.012344068130027,0.0199717908708611,0.0100128732349603,0.0142627464767079,0.00951708170461595,0,0,0.00768642392351772,0,0,0.00266159551275537,0.000848718481912872,0,0.00391354191770713,0.00605909994371963,0,0.00421022605405841,0.00526743802072472,0.00332475144885073,0.00402988289699502,0.00319554001317965,0.00612979901026808,0.0162745346870717
"co_bin.43",0.0143703348741194,0.0159142198477398,0.0227882645387803,0.0120988546939812,0.0167824881502188,0.02634017455001,0.00580175595684191,0.00956612355865962,0.00849855882797191,0.0148390044653101,0.00844369953598726,0,0,0,0,0,0,0,0,0.00875926080712487,0.00141147800985352,0.00142282713944518,0.00315044889016109,0.00216611598413311,0.012649343587397,0.00895291106702746,0,0,0.00680229451270832,0,0,0,0,0,0
"co_bin.46",0,0,0,0.00619242740763892,0.00400150791343043,0.00257502692678294,0,0,0.0200896382173576,0.00298226399825253,0,0.0608938003467801,0.0476722355913156,0.0530908530344539,0.0314729707487434,0.00801872954969323,0,0,0,0,0,0,0.00206237810433134,0,0.00174327370051656,0,0,0,0.00537293521899896,0.00123969327138613,0.00195347089992083,0,0,0,0.0293554180988703
"co_bin.48",0,0,0,0.00808528940896286,0.00291695348875034,0.00959635415760068,0,0.00539185025020287,0.00580018979759019,0,0.00423177546775101,0,0,0,0,0,0,0,0.0281648182070245,0.00616144249308747,0.0137778125377816,0.0177668724505753,0.0132743286686308,0.025776331366592,0.00596980473553249,0.00459581087556816,0.00501125781187001,0.00569205862899065,0.00282266277973358,0.00074169587727821,0.00110461724137771,0,0,0,0
"co_bin.49",0,0,0,0,0,0.00403347661632805,0.00215175851282175,0.00331226762602405,0,0.00743571160600246,0.00950700619878168,0,0,0.00211287551046759,0.0066297460023715,0,0.00326877917307226,0,0,0,0,0,0.00864987091398625,0.00194902606180423,0.00465066868522505,0.00326108898292706,0,0.00705424321007921,0.00616716010325761,0.00141527025988744,0.00247376848677288,0.0114946289935014,0,0.0114673170880494,0.00671838448018102
"co_bin.4",0.0853339675825353,0.0723680811684705,0.0199136999175543,0.00644969215136431,0.00830455418021951,0.00145146004400941,0.00233041407926623,0.00846157461784588,0.0354632695920006,0.034268406208752,0.068495678704551,0.0179067459638014,0.0103767739700308,0.00835697375540056,0.00842718215987234,0.00457481716661903,0.00438689307315538,0.0357380065404496,0.0107258115010244,0.0188221835502969,0.00145900181497917,0,0.00366180635865321,0.00392267913106338,0.00430735419241591,0.00286722042357988,0.0119943218568683,0.0249805320078923,0.0416358757139883,0.0012473261721054,0.00224343502896803,0.00159291488636753,0,0.00404163070561376,0
"co_bin.50",0.0226498346106222,0,0,0.01831256357931,0.00960348100401452,0.00521280590189012,0,0.00371916526069802,0.00772773920749561,0,0,0,0,0,0,0,0,0,0,0.00545467451731158,0,0.0010415693514322,0.00834041156507102,0.0135500222245224,0.00984821934993498,0.00658078918169665,0,0,0.00331671102148613,0,0,0,0,0,0
"co_bin.51",0,0,0.00654884618866688,0.00281176666252999,0,0.00126524457552691,0.00435324754013023,0.00399826309712315,0.0123625499639289,0.00968363400133946,0.0136736077354195,0,0,0.0259790600210158,0.0195133840119306,0.0163428403271443,0.0132595802994343,0,0,0,0.00286502301539893,0.00140711685531657,0.002330756327568,0.00204303017635597,0.00589208771826086,0.00132899399288574,0,0,0.00666196750093581,0.0014122145603441,0.0120695770011133,0.00252928672005109,0,0.0100887398802012,0.00520681279198841
"co_bin.52",0,0.0139439330805248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585336257137273,0,0,0,0,0,0.00602320684120377,0.00615386230627028,0,0.000676453613919397,0,0.0218299343836728,0.00650903539031914,0.00549279082036121,0.00975356007676943,0.059058281552148,0.00933786204496313,0.034368762245461,0.00450463684371646
"co_bin.53",0,0.0124253747448548,0.0132160838789589,0.00221883729353841,0,0.00472295290792288,0.0120843982819767,0.00557368264264865,0.0220723560095761,0.011800960246276,0.014899405128295,0,0,0.00561088243017975,0,0,0.00925008573686291,0.0362312679402775,0,0,0.00177269207012258,0.001839953733071,0.00345090707751179,0.00315228225001869,0.00597461781610381,0.00514320148165003,0.00696753066188711,0.00770716259655012,0.0164101823270448,0.0024096620553041,0.00470692210008071,0.00674759610256462,0.0029102471876244,0.0103473324128581,0.0117036699425252
